ID,nest,year,firstFound,lastPresent,lastChecked,fate,ageDay1,site,rat5,rat6,rat7,rat8,rat9,rat10,mouse5,mouse6,mouse7,mouse8,mouse9,mouse10,habitat,orientation,proximate_village,elevation,nest_width,nest_height,nest_lenght,chamber,substrate,walls,vegetation_cover,curved_entrance,predated,predator
1,ribeira,2010,3,6,7,1,-2,Pico João de Moura,0,0.45,0.5,0.65,0.5,0.65,0.15,0.9,0.5,0.35,0.5,0.25,riverbank with trees,NE,3700,184,72,19,90,yes,rock,no,30,0,1,rat
2,95b,2010,3,9,10,1,-2,Cancela do Pico,0,0.05,0.25,0.15,0.25,0.5,0.3,1,0.15,0.5,0.2,0.25,grazing land,NE,3800,233,30,13,30,yes,soil,no,40,0,1,cat
3,95a,2010,3,10,11,1,-2,Cancela do Pico,0,0.05,0.25,0.15,0.25,0.5,0.3,1,0.15,0.5,0.2,0.25,grazing land,NE,3800,233,27,20,84,yes,soil,yes,40,0,1,cat
4,80b,2010,2,10,11,1,-1,Fajã Rochosa,0,0,0.15,0,0.15,0.2,0.2,0.25,0,0.25,0,0.3,coast with rocks,SE,590,5,57,52,110,yes,rock,no,0,0,1,cat
5,80a,2010,2,21,21,0,-1,Fajã Rochosa,0,0,0.15,0,0.15,0.2,0.2,0.25,0,0.25,0,0.3,coast with rocks,SE,590,5,26,75,114,yes,rock,no,0,0,0,unpred
6,62B,2010,2,11,12,1,-1,Pão de Açúcar,0.05,0.2,0.4,0.35,0.4,0.4,0.15,0.8,0.4,0.7,0.4,0.25,semi-natural grassland,SW,500,187,30,16,124,yes,soil,no,30,0,1,cat
7,62A,2010,2,9,10,1,-1,Pão de Açúcar,0.05,0.2,0.4,0.35,0.4,0.4,0.15,0.8,0.4,0.7,0.4,0.25,semi-natural grassland,SW,500,187,74,19,148,yes,soil,no,30,0,1,cat
8,22b,2010,2,21,21,0,-1,Pão de Açúcar,0.05,0.2,0.4,0.35,0.4,0.4,0.15,0.8,0.4,0.7,0.4,0.25,semi-natural grassland,SW,500,187,39,25,68,yes,soil,yes,40,0,0,unpred
9,215B,2010,1,9,10,1,0,Fajã Rochosa,0,0,0.15,0,0.15,0.2,0.2,0.25,0,0.25,0,0.3,coast with rocks,SE,590,14,52,32,133,yes,rock,no,0,0,1,cat
10,16b,2010,3,11,12,1,-2,Fonte Velha,0,0,0.3,0.1,0.3,0.15,0.05,0.45,0.3,0.95,0.3,0.95,semi-natural grassland,S,200,176,61,41,150,yes,soil,no,40,1,1,cat
11,16a,2010,2,12,13,1,-1,Fonte Velha,0,0,0.3,0.1,0.3,0.15,0.05,0.45,0.3,0.95,0.3,0.95,semi-natural grassland,S,200,173,75,33,142,yes,soil,no,40,1,0,unpred
